id,key,value,type
61384488,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384488,source,massgis_import_v0.1_20071008193615,regular
61384494,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384494,created_by,JOSM,regular
61384494,source,massgis_import_v0.1_20071008193615,regular
61384501,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384501,created_by,JOSM,regular
61384501,source,massgis_import_v0.1_20071008193615,regular
61384507,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384507,created_by,JOSM,regular
61384507,source,massgis_import_v0.1_20071008193615,regular
61384511,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384511,created_by,JOSM,regular
61384511,source,massgis_import_v0.1_20071008193615,regular
61384513,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384513,source,massgis_import_v0.1_20071008193615,regular
61384519,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384519,source,massgis_import_v0.1_20071008193615,regular
61384547,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384547,created_by,JOSM,regular
61384547,source,massgis_import_v0.1_20071008193615,regular
61384580,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384580,created_by,JOSM,regular
61384580,source,massgis_import_v0.1_20071008193615,regular
61384622,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384622,created_by,JOSM,regular
61384622,source,massgis_import_v0.1_20071008193615,regular
61384626,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384626,created_by,JOSM,regular
61384626,source,massgis_import_v0.1_20071008193615,regular
61384632,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384632,created_by,JOSM,regular
61384632,source,massgis_import_v0.1_20071008193615,regular
61384639,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61384639,created_by,JOSM,regular
61384639,source,massgis_import_v0.1_20071008193615,regular
